Date,Subject,From,Message
2024-09-24 05:06:44-05:00,W2 Role: Cyber Security Architect- New York - Onsite Role,"""bala, Millennium Infotech"" <phmailadmin@prohirespowerhouse.com>","Hi Professional,Hope you are doing well.We have an immediate opening for Cyber Security Architect.It is an fully onsite role. Job Title: Cyber Security ArchitectJob Location: NYC, NY (Onsite Role)Job Experience: 12+ Years Security Analyst :Review firewall system security and vulnerability design.Determine security requirements by evaluating business strategies and business requirements.Analyze appropriate security assurance levels.Evaluate security policy and next-generation threats.Analyze and recommend prevention designs, SSL encryption/decryption strategies, vulnerability protection profiles, content filtering and perimeter security controls. Analyze potential impact of new threats and exploits, develop and implement expert firewall solutions to mitigate those threats.Analyze risks to critical applications and recommend security controls. Communicate risks to relevant business units."
2024-09-24 04:03:15-05:00,"Opening for Lead Data Engineer (10+ Years Exp. Mandatory)  Location: Chicago, IL - 3 days onsite. Local preferred","""Rahman, Webster Tech Solutions Inc"" <phmailadmin@prohirespowerhouse.com>","Position: Lead Data Engineer (10+ Years Exp. Mandatory)Location: Chicago, IL - 3 days onsite. Local preferred Note: 10+ Years Exp. Mandatory Job Description:Python/Pyspark scriptingGlue / lambdaSnowflake (sql, stored procs)Airflow or equivalent orchestrationAWS Cloud formationInformatica / ETL"
2024-09-24 03:39:15-05:00,Opening for Payment Business Analyst  Location: USA-Canada  (Remote),"""Rahman, Webster Tech Solutions Inc"" <phmailadmin@prohirespowerhouse.com>","Position: Payment Business Analyst Location: USA/Canada – (Remote) Job Description:Experience as a BA in payments.Experiences in ISO 20022- msgs, US Clearing experience, core payment experience and Understanding of FED/CHIP/SWIFT formatsDeep knowledge of FGPP (or similar product), Finastra software delivery and implementation procedures and relevant methodologiesWork timing – US working time so we need profiles in USA/Canada or any other locations, but resource should work in US time zone."
2024-09-24 03:16:31-05:00,Opening for Fircosoft Specialist Consultant  Location: NJ (Jersey City) or NYC Hybrid  3 days in office,"""Rahman, Webster Tech Solutions Inc"" <phmailadmin@prohirespowerhouse.com>","Position: Fircosoft Specialist Consultant Location: NJ (Jersey City) / NYC Hybrid – 3 days in office Fircosoft specialist: Brief on the role of Fircosoft specialist:The Fircosoft Application Specialist supports the Fircosoft Sanctions screening systems and services within Compliance Technology division in SMBC. Sanction screening system ensure the bank (SMBC) meets all its risk, legal and regulatory responsibilities, and obligations in connection with Sanctions Screening, Know Your Customer (KYC) and Anti-Money Laundering (AML). You should be fully knowledgeable of Fircosoft filtering software and will collaborate with the Business and other support groups by addressing production issues, answering inquiries, updating new sanctions lists and performing system upgrades. You will be primarily transaction focused with a strong tactical core that requires exercising discretion and independent judgment to resolve challenges, communicate effectively, and to achieve the business teams’ goals. Role ObjectivesPlan, design, develop/implement code/configuration for Fircosoft applications (Firco Continuity and Firco Trust)Perform analysis to determine and verify business requirements, flows and deliverables for projects.Troubleshoot issues in all the environments and perform root cause analysis.Maintain high customer satisfaction through the delivery of high quality and timely solutions to problems. These are mission critical systems that need a high degree of error-free reliability. Monitor and provide application support for Dow Jones Factiva list.Communicate effectively and pro-actively with business users, support teams, vendor, and all stakeholders.Multi-task and work on multiple projects with varying priorities and deadlines.Create and execute test cases and scripts for testing of changes and releases.Upgrade system software working in conjunction with users. Qualifications and SkillsProven hands-on experience with real-time payments and Fircosoft Sanction Screening (Firco Continuity and Firco Trust).Proven hands-on experience working with Firco Utilities FMM, FML, FUM, FFFClassic etc..Hands-on experience with Firco Continuity V6 upgrade is a plus.Strong knowledge and experience with sanctions screening, AML transaction monitoring and other compliance functions.Bachelor’s Degree in Computer Science or a related discipline and/or at least (5) years’ experience in implementing technologies and/or vendor platforms to service business needs.Demonstrated experience with development, system design and integrationExperience in UNIX and Windows shell scripting for process automationExperience with SQL scripting (Oracle, MS SQL)Experience working with Scheduling software tool (TWS etc..), File Transfer process (MQFTE etc..) is a plus.Experience in waterfall and agile developmentExcellent verbal and written communication skills with ability to articulate concepts and ideas to diverse audiences.The right individual will have experience within financial services and understand the business criticality of a production environment for payments."
2024-09-24 02:53:53-05:00,Opening for AWD Consultant  Location: IOWA,"""Rahman, Webster Tech Solutions Inc"" <phmailadmin@prohirespowerhouse.com>","Position: AWD Consultant Location: IOWA Job Description:15+ year of IT experience with Insurance domain knowledgeWorks off of the AWD Admin requirements, to perform unit testing, supports business UAT and deploy / implements BAU projects.Configures and codes API Updates for the AWD ToolKit, AWD Custom Code, NSImport and NetServer. This could include VB6, JAVA, .NET, HTML, SQL, XML, REST and SOAP services, as well as integration with other peripheral TA applications.Provides post implementation and production support for the AWD Admin for Incident ticket resolution as needed.Monitors and supports AWD Custom Email, NSImport / NetServer, AWD custom code, and other peripheral AWD Applications on a daily basis.Provides audit support for internal TA project audits and regulatory compliance requests.Supports patching and coding changes for AWD related servers and infrastructure (Windows, Linux, JAVA, Microsoft updates, etc.)"
2024-09-24 02:51:44-05:00,"Urgent Need--Java +Bigdata Architect,  Location: Phoenix, AZ -NYC, NY (Onsite","""SAPNA, ITECS"" <phmailadmin@scentricopowerhousesmtpdist3.email>","Position: Java +Bigdata ArchitectLocation: Phoenix, AZ /NYC, NY (Onsite)Duration: Long TermVisa Type: Any Visa will workPay Rate: $64/hr on C2C All Inc Job Description: Position: Java +Bigdata ArchitectLocation: Phoenix, AZ /NYC, NY (Onsite)Duration: Long TermVisa Type: Any Visa will workPay Rate: $64/hr on C2C All Inc Job Description: 1. Strong understanding of Basel Regulatory Capital framework; exposure to US regulations is preferable2. Experience into both Basel Standardized and Advanced approaches is required, including demonstrated knowledge to subject areas of Market Risk, CVA Risk, Counterparty Credit Risk in additional to Credit Risk3. Experience in data analytics, data profiling, Source to Target (S2T) data mapping, analyzing the System of Record (SOR) data and its Data Quality (DQ) rules to identify data issues in SORs4. Strong SQL / NoSQL and data analysis experience, able to write / understand complex SQL, HiveQL, with hands-on Oracle SQL, DBeaver and Hive experience5. Experience with Python, Google Cloud, Big Query, Machine Learning and Data Automation / Visualization techniques6. Experience with Big Data frameworks; Spark, Hive, Hadoop, Flink, Operational Data Stores (ODS), amongst other foundational data warehousing and modeling principles7. Identification of business requirements and development of functional requirement documentation for new data sources and attributes, including design, prototyping, testing, and implementation of report owner and regulatory requirements.8. Document and understand core components of solution architecture including data patterns, data-related capabilities, and standardization and conformance of disparate datasets.9. Experience with of MS Excel, Power Query, and other analytical tools, e.g., Tableau10. Critical thinking and complex problem-solving skills (data application)11. Product Management, data migration, data analytics working experience is a plus12. Experienced in Agile delivery concepts or other project management methodologies13. Excellent Communication Skills; Verbal, Written14. Excellent relationship building, presentation and collaboration skills"
2024-09-24 02:31:30-05:00,"Urgent Need--Oracle with Product owner--Location: Phoenix, AZ --NYC, NY (Onsite)","""SAPNA, ITECS"" <phmailadmin@scentricopowerhousesmtpdist3.email>","Position: Oracle with Product ownerLocation: Phoenix, AZ / NYC, NY (Onsite)Duration: Long TermVisa Type: Any Visa will workBill Rate: $60/hr on C2C All Inc Job Description:Strong understanding of Basel Regulatory Capital framework; exposure to US regulations is preferableExperience into both Basel Standadised and Advanced approaches is required, including demonstrated knowledge to subject areas of Market Risk, CVA Risk, Counterparty Credit Risk in additional to Credit RiskProduct Ownership - Agile/ SAFE certifiedParticipate in daily meetings and drive prioritization within scrum teamsElicit and document technical business requirements via the creation of features and user storiesWork with complex cross functional teams: Engineers, Architects, governance & business partnersDevelop understanding of Oracle infrastructure and existing processes and datasets to understand and support Point of Arrival (POA) process designClosely collaborate with users to understand the pain points, requirements, feedback and provide them with timely resolutionsUnderstand business requirements, product gaps/requirement gaps and drive feature choicesDesign and build ongoing data process controls by collaborating with Technology and Data Governance as neededManage program blocking issues, anticipate and make tradeoffs, and balance the business needs versus technical or operational constraintsGood understanding of Data warehousing concepts including exposure to BigData and Cloud environmentsExcellent Communication Skills; Verbal, WrittenExcellent relationship building, presentation and collaboration skills"
2024-09-24 02:30:38-05:00,Opening for Java Spring Boot Lead  (only TN Visa Mandatory)  Location: Remote  USA,"""Rahman, Webster Tech Solutions Inc"" <phmailadmin@prohirespowerhouse.com>","Position: Java Spring Boot Lead – (only TN Visa Mandatory) Location: Remote – USA Note: only TN visa will work and Spanish Language is also Mandatory Mandatory Skill:Java Spring Boot, Weblogic, Sql server(SQL, PL/SQL programming expertise) and KafkaMultithreading/Concurrency, Distributed Transactions, Experience in Agile Development Methodologies, Job Description: · Substantial experience in Core Java (Java 8 and above), Java EE, JSP/Servlet, JDBC, JMS/IBM MQ, Multithreading/Concurrency, Local and Distributed Transactions, JavaScript/ CSS / HTML.· Working experience on WebLogic/OHS or equivalent J2EE Server· Experience in Spring Framework and Spring Boot· Excellent knowledge of Relational Databases, SQL, Index, Stored Procedures and ORM technologies (JPA2, Hibernate)· Databases – MS SQL Server or equivalent with SQL, PL/SQL programming expertise.· Test Driven development and automated testing tools like JUnit, Cucumber/ Gherkin; JIRA, Maven, Sonar· Experience in version control tools like GIT, Bitbucket.· Experience in working on multiple technologies and medium to complex systems, well versed with design standards & framework· Experience with Continuous Integration systems such as TeamCity, Jenkins, Tekton/Harness, UDeploy· Tools – Well versed with IntelliJ/Eclipse· Quick learner of new tools and technologies.· Experience in event driven architecture and development of Spring Boot based components integrating with Kafka and MQ· Strong understanding of the Software Development Life Cycle· Experience in Agile Development Methodologies with Scrum, sprint deliverables· 8-10 yrs experience"
2024-09-24 02:12:14-05:00,"Urgent Need--Java Developer - F2F interview **ON SITE at Phoenix, AZ -Need only Local Candidate required","""SAPNA, ITECS"" <phmailadmin@scentricopowerhousesmtpdist3.email>","Java Developer - F2F interview **ON SITE at Phoenix, AZ -Need only Local Candidate requiredCSA# S2TDYL Rate- $55/hr. Location: Phoenix, AZ -Need only Local Candidate requiredClient-IBM -AmexJava Developer - F2F interview **ON SITE at PHX** Application Developer - Java & Web TechnologiesSkills Required:-JavaJ2EEJavaScriptRDBMSNoSQL & webservices"
2024-09-24 02:05:12-05:00,"Opening for Tech Lead Guidewire Integration developer  Location: San Antonio, Texas, 78288  (Day 1 onsite)","""Rahman, Webster Tech Solutions INC"" <phmailadmin@prohirespowerhouse.com>","Position: Tech Lead Guidewire Integration developerLocation: San Antonio, Texas, 78288 – (Day 1 onsite) Mandatory required skills Experience with implementing RESTful services, Swagger APIsExperience with messaging, batch process, Work queues implementation.Guidewire Policy Center Associate/ ACE certification Detailed Job Description Design, develop, code, and test complex technical solutions.Investigates and resolves complex application and system technical problems and production issues through solving techniques.Continually improves operations by conducting complex systems analysis and recommending changes in policies and procedures.Prepares and installs complex solutions by determining and designing system specifications, standards, and programming.Follows the software development lifecycle.Mentor’s junior engineers and may begin mentoring peer engineers; Review teammates’ code.Ensures risks associated with business activities are effectively identified, measured, monitored, and controlled in accordance with risk and compliance policies and procedures."
